S_no,runNumber,eventNumber,channelNumber,mcWeight,pvxp_n,vxp_z,ScaleFactor_PILEUP,ScaleFactor_ELE,scaleFactor_MUON,scaleFactor_BTAG,scaleFactor_TRIGGER,scaleFactor_JVFSF,scaleFactor_ZVERTEX,trigE,trigM,passGRL,hasGoodVertex,lep_n,met_et,met_phi,jet_n,alljet_n
51,195847,25110,105986,1,9,-86.39575,2.0969262,0.97607374,1,0.93757844,0.997679,1,0.7542426,10,0,10,10,1,23255.99,-3.0577033,3,3
52,195847,25111,105986,1,10,12.6605,2.0969262,0.9756439,1,0.9638,0.9998748,1,1.3006411,10,0,10,10,2,39515.24,0.79791087,1,1
53,195847,25125,105986,1,9,-74.23114,2.0969262,0.96112,0.99375415,1,1.0311648,1,0.8958925,0,10,10,10,4,20240.973,0.2574185,0,1
54,195847,25131,105986,1,13,-13.844739,2.0969262,0.8217668,1,0.9980272,0.9854352,1,1.3646336,10,0,10,10,1,33625.984,0.9351052,1,1
55,195847,25137,105986,1,8,0.77745295,2.0969262,1,0.9965421,0.9961074,0.9986034,1,1.3527057,0,10,10,10,2,4942.7734,2.1370897,2,2
56,195847,25138,105986,1,8,-75.654724,2.0969262,1,0.99553335,1,1.2857138,1,0.8782551,0,10,10,10,2,67342.75,-0.7598667,0,0
57,195847,25140,105986,1,7,133.21492,2.0969262,1,0.99311185,0.99821603,0.8630378,1,0.1641005,0,10,10,10,2,17807.078,2.9520044,1,1
58,195847,25142,105986,1,9,-18.113148,2.0969262,1,0.9996348,0.99601686,1.1036645,1,1.3566421,0,10,10,10,1,13683.081,0.833759,1,2
59,195847,25143,105986,1,10,49.8619,2.0969262,1,0.9972351,0.9791,1.0111868,1,0.9597698,0,10,10,10,1,43021.613,2.8907707,1,1
60,195847,25144,105986,1,4,-102.78402,2.0969262,0.92127717,1,1.1074593,0.9998983,1,0.56656176,10,0,10,10,2,34569.824,-0.70904684,2,2
61,195847,25145,105986,1,10,14.379076,2.0969262,1,0.9987975,0.9956733,1.0037401,1,1.2916404,0,10,10,10,1,20963.598,0.03352511,3,3
62,195847,25146,105986,1,11,17.227707,2.0969262,1,0.9982704,0.99600357,1.0096972,1,1.2720948,0,10,10,10,2,27246.72,-0.71927625,2,2
63,195847,25149,105986,1,9,-6.595221,2.0969262,0.9845959,1,1.0074924,0.9995053,1,1.3660548,10,0,10,10,2,19616.553,-0.21453834,2,2
64,195847,25154,105986,1,14,46.201687,2.0969262,0.9243569,1,0.9938792,0.99942696,1,0.9995698,10,0,10,10,2,9113.484,1.9725473,3,3
65,195847,25155,105986,1,7,-144.02028,2.0969262,0.88478243,1,0.996247,1.0000515,1,0.20812862,10,0,10,10,2,29563.55,2.8454878,2,2
66,195847,25156,105986,1,12,-12.081619,2.0969262,0.8793939,1,1,0.9995678,1,1.3664128,10,0,10,10,2,24434.652,-0.4688958,0,0
67,195847,25161,105986,1,3,4.224846,2.0969262,1,1.0029069,0.990604,1.0064286,1,1.3413173,0,10,10,10,2,23010.889,-1.9494168,4,4
68,195847,25162,105986,1,7,-117.51152,2.0969262,1,1.002691,1,0.9994804,1,0.41468215,0,10,10,10,1,46406.996,-1.2391212,0,0
69,195847,25164,105986,1,3,-53.96559,2.0969262,0.92610747,1,0.9965319,0.9991785,1,1.1226165,10,0,10,10,1,35070.207,-1.9002159,2,2
70,195847,25165,105986,1,8,8.894913,2.0969262,0.98668087,1,0.99545103,0.9972616,1,1.3220193,10,0,10,10,2,14495.308,0.09375623,2,3
71,195847,25167,105986,1,10,-16.601576,2.0969262,0.90871406,1,0.99794424,0.97134465,1,1.3599161,10,0,10,10,2,5797.014,1.4369699,1,1
72,195847,25168,105986,1,9,-95.727776,2.0969262,0.92128736,1,0.99795234,0.99414533,1,0.6442498,10,0,10,10,2,12353.992,-0.37556538,1,1
73,195847,25171,105986,1,8,101.08105,2.0969262,0.89087534,1,0.9973913,0.9999757,1,0.39255366,10,0,10,10,2,29360.334,2.3880138,1,2
74,195847,25172,105986,1,7,-34.582485,2.0969262,1,0.9316587,0.99439806,0.687731,1,1.2822452,0,10,10,10,1,30824.395,-2.3805938,3,4
75,195847,25174,105986,1,9,52.112083,2.0969262,0.8856048,1,0.9960798,0.9999623,1,0.93088937,10,0,10,10,2,10614.876,0.34808156,2,2
76,195847,25177,105986,1,6,-85.48579,2.0969262,0.94794494,1,0.9984319,0.99958336,1,0.7660136,10,0,10,10,2,14949.445,-1.1466786,1,1
77,195847,25178,105986,1,10,-106.98491,2.0969262,0.9261496,1,1,1.0017821,1,0.5239232,10,0,10,10,1,42950.17,1.3165505,0,0
78,195847,25180,105986,1,6,62.847248,2.0969262,1,1.0028272,0.99814796,1.0793183,1,0.8074035,0,10,10,10,1,46319.02,-1.9458925,1,1
79,195847,25184,105986,1,5,-37.54902,2.0969262,0.91193855,1,0.99603504,0.99943095,1,1.2617079,10,0,10,10,2,7183.399,2.9909916,2,2
